DateCode,DateString,Date,Url
11-06-2019-A,"Tuesday, June 11, 2019, Afternoon",2019-06-11 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/9fec8e76-bacc-4cf0-b199-8d2fb259c84c/1/doc/
11-06-2019-M,"Tuesday, June 11, 2019, Morning",2019-06-11 09:00:00,https://www.assembly.ab.ca/Documents/isysquery/12e5c927-489b-4299-b4b1-24acdbe46951/1/doc/
10-06-2019-E,"Monday, June 10, 2019, Evening",2019-06-10 19:30:00,https://www.assembly.ab.ca/Documents/isysquery/b8a97f0b-bf42-438c-9e16-52cafd5fdbdc/1/doc/
10-06-2019-A,"Monday, June 10, 2019, Afternoon",2019-06-10 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/05f9be81-b8cf-483c-97e4-618874759918/1/doc/
05-06-2019-E,"Wednesday, June 5, 2019, Evening",2019-06-05 19:30:00,https://www.assembly.ab.ca/Documents/isysquery/da5ed186-a26a-4b93-8a78-adfb0bd9c48c/1/doc/
05-06-2019-A,"Wednesday, June 5, 2019, Afternoon",2019-06-05 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/cd2bdce4-8ce1-480c-9d43-03b678a6063f/1/doc/
04-06-2019-E,"Tuesday, June 4, 2019, Evening",2019-06-04 19:30:00,https://www.assembly.ab.ca/Documents/isysquery/03d00fd8-ca6c-4ed0-8810-635b72ed8700/1/doc/
04-06-2019-A,"Tuesday, June 4, 2019, Afternoon",2019-06-04 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/913202e9-1804-4c0e-829d-d637ca093c81/1/doc/
04-06-2019-M,"Tuesday, June 4, 2019, Morning",2019-06-04 09:00:00,https://www.assembly.ab.ca/Documents/isysquery/1ad26261-f7e7-412a-80f2-4101fbdcd3ee/1/doc/
03-06-2019-E,"Monday, June 3, 2019, Evening",2019-06-03 19:30:00,https://www.assembly.ab.ca/Documents/isysquery/6f532078-df98-4eb0-8b7a-788507785a06/1/doc/
03-06-2019-A,"Monday, June 3, 2019, Afternoon",2019-06-03 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/4c9c35ab-633c-4cd4-bf00-e230b1affe30/1/doc/
30-05-2019-A,"Thursday, May 30, 2019, Afternoon",2019-05-30 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/4b8fcab5-35ec-4b7b-a3c3-2d08a6173f43/1/doc/
30-05-2019-M,"Thursday, May 30, 2019, Morning",2019-05-30 09:00:00,https://www.assembly.ab.ca/Documents/isysquery/99728312-40bc-498c-9b0c-e2d870e3ab0c/1/doc/
29-05-2019-E,"Wednesday, May 29, 2019, Evening",2019-05-29 19:30:00,https://www.assembly.ab.ca/Documents/isysquery/694d2fd2-1bde-4176-a3e9-22e845d28a81/1/doc/
29-05-2019-A,"Wednesday, May 29, 2019, Afternoon",2019-05-29 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/9974adcb-3065-4315-aa41-8a151e2a5b3f/1/doc/
29-05-2019-M,"Wednesday, May 29, 2019, Morning",2019-05-29 09:00:00,https://www.assembly.ab.ca/Documents/isysquery/6845589f-1b16-426f-a274-a8b146f6ec95/1/doc/
28-05-2019-E,"Tuesday, May 28, 2019, Evening",2019-05-28 19:30:00,https://www.assembly.ab.ca/Documents/isysquery/f217bf0a-caab-48ff-aaeb-77bb6d06b88c/1/doc/
28-05-2019-A,"Tuesday, May 28, 2019, Afternoon",2019-05-28 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/02a9b300-f040-4033-ab37-bf74efe3a835/1/doc/
28-05-2019-M,"Tuesday, May 28, 2019, Morning",2019-05-28 09:00:00,https://www.assembly.ab.ca/Documents/isysquery/7a29fe09-c96f-4b33-8bd3-25a7684fdfba/1/doc/
27-05-2019-E,"Monday, May 27, 2019, Evening",2019-05-27 19:30:00,https://www.assembly.ab.ca/Documents/isysquery/0c86d81b-7da6-406b-81fd-2ecec302c5a1/1/doc/
27-05-2019-A,"Monday, May 27, 2019, Afternoon",2019-05-27 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/a8a0e071-4416-49ad-ad26-8080b9e1a01e/1/doc/
23-05-2019-A,"Thursday, May 23, 2019, Afternoon",2019-05-23 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/87fc9f07-f662-4059-85c5-7c051d613a81/1/doc/
23-05-2019-M,"Thursday, May 23, 2019, Morning",2019-05-23 09:00:00,https://www.assembly.ab.ca/Documents/isysquery/dda776bf-90ab-4239-8dfc-8016d30d7778/1/doc/
22-05-2019-A,"Wednesday, May 22, 2019, Afternoon",2019-05-22 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/7be3a685-a537-4278-9390-d70330dd4ac6/1/doc/
21-05-2019-A,"Tuesday, May 21, 2019, Afternoon",2019-05-21 13:30:00,https://www.assembly.ab.ca/Documents/isysquery/e2536c48-8b48-4371-b782-73060c5214b2/1/doc/
